Shp_No;Delivery_day;Plant;Ship-to2;Pallets;GWkg;TT;TT2
557412;02.01.2008;DE12;10105467;60;19641.6;DIR;KL
557445;02.01.2008;DE17;10105268;0.03;6.85;GRP;SG
557469;02.01.2008;DE17;10099310;3.01;891.058;GRP;SG
557469;02.01.2008;DE17;10099673;0.52;543.3;GRP;SG
557469;02.01.2008;DE17;10100339;2;412.8;GRP;SG
557469;02.01.2008;DE17;10105669;0.13;16.5;GRP;SG
557469;02.01.2008;DE17;10106950;1;369.8;GRP;SG
557623;02.01.2008;DE12;10099425;1;556.8;GRP;SG
557680;02.01.2008;DE14;10102928;30;4987;DIR;TL
557682;02.01.2008;DE14;10104377;29;9402.808;DIR;TL
557707;02.01.2008;DE14;10108184;40;20360.42;DIR;KL
557709;02.01.2008;DE14;10099277;8.32;5016.799;DIR;TL
557709;02.01.2008;DE14;10099608;2.6;894.94;GRP;SG
557709;02.01.2008;DE14;10099610;0.5;185.8;GRP;SG
557709;02.01.2008;DE14;10101284;2.71;1698.695;GRP;TL
557709;02.01.2008;DE14;10105623;6.86;4664.49;DIR;TL
557709;02.01.2008;DE14;10105665;1.81;1181.069;GRP;TL
557709;02.01.2008;DE14;10105720;8.54;5334.224;DIR;TL
557709;02.01.2008;DE14;10105775;4.56;2770.266;GRP;TL
557712;02.01.2008;DE17;10105265;3.86;2973.762;GRP;TL
557735;02.01.2008;DE14;10101862;2.44;2095.54;GRP;TL
557736;02.01.2008;DE14;10102633;2;246.24;GRP;SG
557736;02.01.2008;DE14;10103656;0.45;342.48;GRP;SG
557736;02.01.2008;DE14;10104073;0.45;342.48;GRP;SG
557745;02.01.2008;DE14;10102058;0.55;126.304;GRP;SG
557745;02.01.2008;DE14;10102431;1.33;788.942;GRP;SG
557745;02.01.2008;DE14;10103495;1;145.2;GRP;SG
557745;02.01.2008;DE14;10103498;1.53;899.145;GRP;SG
557745;02.01.2008;DE14;10103709;0.87;146.464;GRP;SG
557745;02.01.2008;DE14;10103754;4;1467.24;GRP;TL
557745;02.01.2008;DE14;10103919;0.33;180.68;GRP;SG
557745;02.01.2008;DE14;10105612;5.75;3908.379;DIR;TL
557745;02.01.2008;DE14;10106141;5.77;3299.991;DIR;TL
557745;02.01.2008;DE14;10106937;1.28;217.728;GRP;SG
557745;02.01.2008;DE14;10118586;1.29;248.852;GRP;SG
557745;02.01.2008;DE14;10145108;1.32;788.761;GRP;SG
557751;02.01.2008;DE14;10103284;49.57;21385.84;DIR;KL
557752;02.01.2008;DE14;10099223;0.71;134;GRP;SG
557752;02.01.2008;DE14;10099258;1;323.8;GRP;SG
557752;02.01.2008;DE14;10099328;0.96;236.53;GRP;SG
557752;02.01.2008;DE14;10100316;0.5;68.4;GRP;SG
557752;02.01.2008;DE14;10105124;0.51;146.17;GRP;SG
557752;02.01.2008;DE14;10105515;1;323.8;GRP;SG
557752;02.01.2008;DE14;10106646;0.5;68.4;GRP;SG
557752;02.01.2008;DE14;10108061;1.21;288.326;GRP;SG
557752;02.01.2008;DE14;10108238;2.75;523;GRP;SG
557752;02.01.2008;DE14;10206506;2.05;321.426;GRP;SG
557758;02.01.2008;DE14;10099410;32.63;8132.156;DIR;TL
557759;02.01.2008;DE14;10099275;3.66;2363.271;GRP;TL
557759;02.01.2008;DE14;10099612;0.63;107.054;GRP;SG
557759;02.01.2008;DE14;10099655;9.59;3428.464;DIR;TL
557759;02.01.2008;DE14;10105477;2.42;466.626;GRP;SG
557759;02.01.2008;DE14;10108136;1.94;335.872;GRP;SG
557759;02.01.2008;DE14;10108147;1.5;270.9;GRP;SG
557759;02.01.2008;DE14;10108153;1;136.8;GRP;SG
557759;02.01.2008;DE14;10108168;2.1;640.68;GRP;SG
557759;02.01.2008;DE14;10210052;1.89;1367.984;GRP;TL
557760;02.01.2008;DE14;10099292;5.93;3609.833;DIR;TL
557760;02.01.2008;DE14;10099518;2.44;446.56;GRP;SG
557760;02.01.2008;DE14;10100331;0.91;151.076;GRP;SG
